Time(s) ,Extension(mm),Load(kN),Flexural stress(MPa),Flexural strain(%)
,,,,
0,0,0,0,0
0.1,0,0,-0.02,0
0.2,0,0,-0.01,0
0.3,0,0,0,0
0.4,0.01,0,0.07,0
0.5,0.01,0,0.04,0
0.6,0.01,0,0.1,0
0.7,0.01,0,0.12,0.01
0.8,0.01,0,0.18,0.01
0.9,0.01,0,0.2,0.01
1,0.02,0,0.22,0.01
1.1,0.02,0,0.25,0.01
1.2,0.02,0,0.3,0.01
1.3,0.02,0,0.32,0.01
1.4,0.02,0,0.34,0.01
1.5,0.02,0,0.28,0.01
1.6,0.03,0,0.35,0.01
1.7,0.03,0,0.43,0.02
1.8,0.03,0,0.39,0.02
1.9,0.03,0,0.44,0.02
2,0.03,0,0.44,0.02
2.1,0.03,0,0.51,0.02
2.2,0.04,0,0.49,0.02
2.3,0.04,0,0.54,0.02
2.4,0.04,0,0.53,0.02
2.5,0.04,0,0.52,0.02
2.6,0.04,0,0.58,0.02
2.7,0.04,0,0.55,0.03
2.8,0.05,0,0.64,0.03
2.9,0.05,0,0.66,0.03
3,0.05,0,0.65,0.03
3.1,0.05,0,0.66,0.03
3.2,0.05,0,0.65,0.03
3.3,0.05,0,0.69,0.03
3.4,0.06,0,0.69,0.03
3.5,0.06,0,0.69,0.03
3.6,0.06,0,0.75,0.03
3.7,0.06,0,0.79,0.04
3.8,0.06,0,0.81,0.04
3.9,0.06,0,0.82,0.04
4,0.07,0,0.83,0.04
4.1,0.07,0,0.83,0.04
4.2,0.07,0,0.88,0.04
4.3,0.07,0,0.87,0.04
4.4,0.07,0,0.88,0.04
4.5,0.07,0,0.96,0.04
4.6,0.08,0,0.97,0.04
4.7,0.08,0,0.89,0.04
4.8,0.08,0,0.94,0.05
4.9,0.08,0,0.98,0.05
5,0.08,0,1.03,0.05
5.1,0.08,0,1.07,0.05
5.2,0.09,0,1.01,0.05
5.3,0.09,0,1.06,0.05
5.4,0.09,0,1.04,0.05
5.5,0.09,0,1.11,0.05
5.6,0.09,0,1.04,0.05
5.7,0.09,0,1.06,0.05
5.8,0.1,0,1.14,0.06
5.9,0.1,0,1.13,0.06
6,0.1,0,1.15,0.06
6.1,0.1,0,1.15,0.06
6.2,0.1,0,1.18,0.06
6.3,0.1,0,1.17,0.06
6.4,0.11,0,1.23,0.06
6.5,0.11,0,1.25,0.06
6.6,0.11,0,1.2,0.06
6.7,0.11,0,1.22,0.06
6.8,0.11,0,1.26,0.07
6.9,0.11,0,1.27,0.07
7,0.12,0,1.34,0.07
7.1,0.12,0,1.32,0.07
7.2,0.12,0,1.4,0.07
7.3,0.12,0,1.4,0.07
7.4,0.12,0,1.37,0.07
7.5,0.12,0,1.42,0.07
7.6,0.13,0,1.36,0.07
7.7,0.13,0,1.43,0.07
7.8,0.13,0,1.45,0.07
7.9,0.13,0,1.44,0.08
8,0.13,0,1.46,0.08
8.1,0.13,0,1.48,0.08
8.2,0.14,0,1.51,0.08
8.3,0.14,0,1.52,0.08
8.4,0.14,0,1.5,0.08
8.5,0.14,0,1.52,0.08
8.6,0.14,0,1.54,0.08
8.7,0.14,0,1.59,0.08
8.8,0.15,0,1.62,0.08
8.9,0.15,0,1.64,0.09
9,0.15,0,1.65,0.09
9.1,0.15,0,1.6,0.09
9.2,0.15,0,1.67,0.09
9.3,0.15,0,1.69,0.09
9.4,0.16,0,1.72,0.09
9.5,0.16,0,1.76,0.09
9.6,0.16,0,1.72,0.09
9.7,0.16,0,1.78,0.09
9.8,0.16,0,1.78,0.09
9.9,0.16,0,1.78,0.1
10,0.17,0,1.8,0.1
10.1,0.17,0,1.78,0.1
10.2,0.17,0,1.78,0.1
10.3,0.17,0,1.83,0.1
10.4,0.17,0,1.85,0.1
10.5,0.17,0,1.92,0.1
10.6,0.18,0,1.89,0.1
10.7,0.18,0,1.87,0.1
10.8,0.18,0,1.95,0.1
10.9,0.18,0,1.95,0.11
11,0.18,0,1.9,0.11
11.1,0.18,0,2.01,0.11
11.2,0.19,0,1.98,0.11
11.3,0.19,0,1.99,0.11
11.4,0.19,0,2.02,0.11
11.5,0.19,0,2.02,0.11
11.6,0.19,0,2.02,0.11
11.7,0.19,0,2.01,0.11
11.8,0.2,0,2.06,0.11
